S. No,Br. No ,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
11,6588,12-Nov-13,53829,13th Finance,13th Finance-2012-13(Drain),Bhajantri Pandurang M,"EAqÉAmï £ÀA.7314, ºÀÄ.«.ªÁqÀđ £ÀA 57 gÀ°è aPÀ̀¯ï £ÀUÀgÀ NtÂ ¦gÁ¥ÀÆgÀ NtÂUÀ¼À°è  vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj",Regarding Drain Road wroks at Chikkal Nagar Oni  Road in ward No : 57,30-Nov-13,190056,06-Dec-13,190056
12,5544,09-Oct-13,53959,13th Finance,13th Finance-2012-13(RD_BRDG),Tarlagatti C.Y.,"EAqÉAmï £ÀA.8464, ºÀÄ«ªÁ£ÀA.66gÀ £ÉĂPÁgÀ£ÀUÀgÀ N¼À gÀ¸ÉÛUÀ¼À£ÀÄß §¸ÀªÉĂ±ÀégÀ £ÀUÀgÀ ªÀÈvÀÛzÀ gÀ¸ÉÛ ¸À»vÀ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ.",Regarding Road Work At ward NO 66. Nekar Nagar Cross Road & Basaveshwar Circle.,06-Dec-13,1051809,06-Dec-13,1051809
13,6581,12-Nov-13,53826,13th Finance,13th Finance-2012-13(UGD),Bhajantri Pandurang M,"EAqÉAmï £ÀA.7303, ºÀÄ.«.ªÁqÀđ £ÀA.57gÀ PÉ.©.£ÀUÀgÀ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.",Providing under drainage to K.B.Nagar in ward No.57 at Hubli,30-Nov-13,185847,06-Dec-13,185847
14,5639,11-Oct-13,54557,13th Finance,13th Finance(P)2011-12(Bldg),Waddar E.H.,"EAqÉAmï £ÀA.9387, ºÀÄ.«.ªÁqÀđ £ÀA 47 gÀ PÉĂAzÀæ PÀbÉĂj DªÀgÀtzÀ°è PÀA¥ËAqÀ UÉÆĂqÉ C©üªÀÈ¢̃¥Àr¸ÀÄªÀÅzÀÄ",Construction of HDMC Main Office Building Compund Works in ward No 47,07-Dec-13,473566,10-Dec-13,473566
15,5759,15-Oct-13,53931,13th Finance,13th Finance(P)2011-12(UGD),Bhovi Vivekanand  L,"EAqÉAmï £ÀA.5497, ºÀÄ.«.ªÁqÀđ £ÀA 53 gÀ°è UÉÆĂ¥Á® CUÀ¹ ªÀÄ£É¬ÄAzÀ zÀUÁđ ªÀgÉUÉ AiÀÄÄ.f.r ¯ÉÊ£ï ºÁPÀÄªÀÅzÀÄ.",Regarding UGD line road wroks in ward No 53 (III),06-Dec-13,54453,10-Dec-13,54453
16,6362,05-Nov-13,53887,13th Finance,13th Finance-2012-13(Drain),Prem Sai Group,zsÁ.«.ªÁqÀđ £ÀA 16 gÀ°è UÉÆ¯Áè ªÀÄ¹Ă¢ ªÀÄvÀÄÛ ®QëöäĂ ¹AUÀ£ÀPÉĂj vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj. (EAqÉĂ£ïÖ £ÀA.7363),Regarding Drain Road wroks at Golla masidi Road in ward No : 16,07-Dec-13,282882,18-Dec-13,282882
17,6044,24-Oct-13,54572,13th Finance,13th Finance(P)2011-12(Garden),Rashinkar S.L.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 12 ªÁqÀđ £ÀA  19 gÀ ¸ÀvÀÆÛgÀ PÁ®¤ UÁqÀđ£ï C©üªÀÈ¢̃¥Àr¸ÀÄªÀÅzÀÄ. (EAqÉĂ£ïÖ £ÀA. 7940),Regarding Garden Development works in ward No : 19 at Dharwad,19-Dec-13,313903,21-Dec-13,313903
18,5950,21-Oct-13,53976,13th Finance,13th Finance-2012-13(Drain),Prem Sai Group,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 12 ªÁqÀđ £ÀA 21 gÀ°è «£ÁAiÀÄPÀ£ÀUÀgÀzÀ°è vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj. (EAqÉĂ£ïÖ £ÀA. 7380),Regarding Drain Road wroks at Vinayak Nagar Road in ward No : 21,19-Dec-13,274399,21-Dec-13,274399
19,6745,21-Nov-13,54702,13th Finance,13th Finance-2012-13(UGD),Talewad N.H.,ºÀÄ.«.ªÁqÀđ £ÀA 25 gÀ GtPÀ¯ï PÉgÉAiÀÄ »A¢gÀÄªÀ ¥ÀæzÉĂ±ÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ,Regarding UGD line Raod works in ward no : 25,19-Dec-13,952281,21-Dec-13,952281
20,6952,28-Nov-13,55645,13th Finance,13th Finance-2011-12(RD_BRDG),Gabbur M.S.,"EAqÉAmï £ÀA.7869, ºÀÄ.«.ªÁ.£ÀA.65gÀ F±ÀégÀ £ÀUÀgÀ 2£ÉĂ PÁæ¸ï ¥ÁåZï ªÀPÀđ ªÀiÁqÀÄªÀzÀÄ.",Regarding Road Development Works at Ishwar Nagar  Roads in ward No 65 (Pot Hole filling of Roads),20-Dec-13,581553,23-Dec-13,581553
21,6710,16-Nov-13,53125,13th Finance,13th Finance-2012-13(RD_BRDG),M/s N. S. Nayak and Sons,EAqÉAl £ÀA.7986 ºÀÄ.«.ªÁqÀđ £ÀA 25 gÀ GtPÀ¯ï PÁæ¸ï ¦.© gÀ¸ÉÛ¬ÄAzÀ ªÁAiÀiÁ ¸Á¬Ä£ÀUÀgÀ ¸ÀPÀđ¯ïªÀgÉUÉ gÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅ.,Regarding Road Work t Ward No 25. Unkal Cross To Sai Nagar Road.,23-Dec-13,3713197,23-Dec-13,3713197
22,7025,30-Nov-13,53144,13th Finance,13th Finance-2012-13(UGD),Abhay Constructions Hubli,ºÀÄ.«.ªÁqÀđ £ÀA 38 gÀ eÉÊ ºÀ£ÀÄªÀiÁ£À CAUÀr ºÀwÛgÀ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.,Regarding UGD line Road works in ward no : 38,21-Dec-13,174853,23-Dec-13,174853
23,2865,06-Jul-13,52822,13th Finance,13th Finance-2011-12(RD_BRDG),Nayak T.D.,ºÀÄ.«.zÀ 46 UÀÄdgÁvÀ ¨sÀªÀ£À¢AzÀ gÉÊ¯Éé CAqÀgï ©æeï ªÀgÉUÉ gÀ¸ÉÛUÉ qÁA§gï ¥ÁåZï ªÀPÀđ ªÀiÁqÀÄªÀzÀÄ.,Regarding Road Development Works at Gujarat Bhaan Roads in ward No 46 (Pot Hole filling of Roads),26-Dec-13,469852,28-Dec-13,469852
24,7786,02-Jan-14,53727,13th Finance,13th Finance-2011-12(UGD),Kyarakatti Sunil P,"EAqÉAmï £ÀA.7285, ºÀÄ.«.ªÁqÀđ £ÀA 43  gÀ £ÁgÁAiÀÄt ¸ÉÆĂ¥ÁzÀ°ègÀÄªÀ ¸ÀÄgÉĂ±À ºÀ¼Áå¼À CªÀgÀ ªÀÄ£ÉAiÀÄ ºÀwÛgÀ ºÁUÀÆ ºÀ¼É ªÀiÁåzÁgÀ NtÂ ªÀÄl£ï ªÀiÁPÉđl ºÀwÛgÀ M¼ÀZÀgÀAr PÁªÀÄUÀj PÉÊUÉÆ¼ÀÄîªÀzÀÄ",Regarding UGD line Road works at Narayan Sopa Road in ward No 43 (II),18-Jan-14,362411,20-Jan-14,362411
25,7364,19-Dec-13,53602,13th Finance,13th Finance-2012-13(UGD),Kyarakatti Sunil P,"EAqÉAmï £ÀA.7295, ºÀÄ.«.ªÁqÀđ £ÀA.62gÀ ¨Átw PÀmÁÖ ªÀÄvÀÄÛ CA¨ÉĂqÀ̀gÀ PÁ®¤ ¥ÀæzÉĂ±ÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.",Providing under drainage to Banati Katta & Ambedkar colony in ward No.62 Hubli.,18-Jan-14,243361,20-Jan-14,243361
26,7346,19-Dec-13,56657,13th Finance,13th Finance(P)2011-12(UGD),Vagesh S.H.,̀Đ̀ºÀÄ.«.ªÁqÀđ £ÀA 23 gÀ £ÀªÀ£ÀUÀgÀ J¯ï.L.¹ ¨ÁèPïzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ªÀiÁUÀđ C¼ÀªÀr¸ÀÄªÀÅzÀÄ.,Regarding UGD line road works at navanagar Roads in ward No : 23,18-Jan-14,1558138,21-Jan-14,1558138
27,6338,31-Oct-13,53750,13th Finance,13th Finance-2011-12(UGD),Talikoti G G,"EAqÉAmï £ÀA.7290, ºÀÄ.«.ªÁqÀđ £ÀA 58 gÀ ªÁ¼ÉéĂPÀgÀ ºÀPÀ̀® ¥ÁnĂ¯ï UÀ°èAiÀÄ°è 6 EAZÀÄ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ PÁªÀÄUÁj C¼ÀªÀr¸ÀÄªÀzÀÄ",Regarding UGD line Road works at Valvekar Hakkal Roads in ward No : 58,21-Jan-14,330433,22-Jan-14,330433
28,8267,28-Jan-14,57195,13th Finance,13th Finance(P)2011-12(swm),Ray Engineers and Fabricators Belgaum,2012-13 £ÉĂ 13£ÉĂ ºÀtPÁ¹£À d£ÀgÀ¯ï ¥ÀgÀ¥ÁªÀÄđ£ḯ C£ÀÄzÁ£ÀzÀ°è 1.1 PÀªÀiï PÀA¥ÁåPÀÖgÀ PÀAmÉĂ£ÀgÀ RjĂ¢¸ÀÄªÀ PÀÄjvÀÄ.,13th Finance 2012-13 (General Performance Grant purchase of 1.1 Cum Compactor Container.,28-Jan-14,2329038,30-Jan-14,2179038
29,8030,13-Jan-14,58355,13th Finance,13th Finance(P)2011-12(Garden),Badami C.B.,ºÀÄ.«.ªÁqÀđ £ÀA 37 gÀ CdÄđ£À «ºÁgÀ UÁqÀđ£À C©üªÀÈ¢̃UÉÆ½¸ÀÄªÀÅzÀÄ.,Regarding garden Development works in ward No : 37,04-Feb-14,221147,05-Feb-14,221147
30,8148,22-Jan-14,54433,13th Finance,13th Finance(P)2011-12(Garden),Bharat Enterprises Hubli (Bagi),ºÀÄ.«.ªÁqÀđ £ÀA 31 gÀ°èAiÀÄ ªÀÄzsÀÄgÁ ZÉĂvÀ£Á PÁ®¤ GzÁå£ÀªÀ£À C©üªÀÈ¢̃¥Àr¸ÀÄªÀÅzÀÄ,Regarding Garden works at Madhura Chetana Colony Garden in ward No 31,04-Feb-14,960519,05-Feb-14,960519
31,8185,24-Jan-14,57547,13th Finance,13th Finance(P)2011-12(UGD),Naragund M.Y.,ªÀ®AiÀÄ PÀZÉĂj £ÀA 06gÀ ªÁqÀđ £ÀA 31 ºÀ¼ÉAiÀÄ §zÁ«Ä £ÀUÀgÀ gÀ¸ÉÛ JzÀÄjUÉ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ªÀiÁUÀđ ºÁPÀÄªÀzÀÄ.,Regarding UGD line Roads Works at Old Badami Nagar in ward No 31,04-Feb-14,478876,05-Feb-14,478876
32,8104,20-Jan-14,57381,13th Finance,13th Finance-2011-12(RD_BRDG),Panchputra Manjunath,ºÀÄ.«.ªÁqÀđ £ÀA 37gÀ UÉÆĂPÀÄ®zÀ°è ZÀgÀArUÀ¼À£ÀÄß ¸Áèöå§ ºÁQ PÀªÀgÀ ªÀiÁqÀÄªÀÅzÀÄ,Providing slab over open drain in Gokul in Ward  No 37,05-Feb-14,736443,05-Feb-14,736443
33,8192,24-Jan-14,60122,13th Finance,13th Finance-2012-13(UGD),Raju S.R.,"EAqÉAmï £ÀA.7305, ºÀÄ.«.ªÁqÀđ £ÀA.59gÀ UË²AiÀiÁ mË£ÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.",Providing to under drainage in Goushiya Town in ward No.59 at Hubli,01-Feb-14,281174,05-Feb-14,281174
34,4350,28-Aug-13,55692,13th Finance,13th Finance-2012-13(Electrical),Devagiri Electricals,"zsÁ.«.ªÁqÀđ £ÀA 3 gÀ°è PÀÄªÀiÁgÉĂ±ÀégÀ £ÀUÀgÀ, «PÁ¸À £ÀUÀgÀ ¸ÀA¦UÉ£ÀUÉUÀ¼À°è J¯ï.E.r/EAqÀPÀë£ï ©Ă¢ ¢Ă¥ÀUÀ¼À£ÀÄß C¼ÀªÀr¸ÀÄªÀ PÁªÀÄUÁj",Regarding  Electrical Street Lights Road wrosk at Kumareshwar Nagar in ward No : 03,06-Feb-14,1476909,06-Feb-14,1476909
35,8174,23-Jan-14,56658,13th Finance,13th Finance-2012-13(Garden),Mathad I.V.,ºÀÄ.«.ªÁqÀđ £ÀA 31gÀ PÉĂ±Áé¥ÀÄgÀzÀ°è CA¨ÉĂqÀ̀gÀ ¸À¨sÁ¨sÀªÀ£À ¥ÀPÀ̀zÀ°èAiÀÄ UÁqÀđ£À C©üªÀÈ¢Ư ¥Àr¸ÀÄªÀÅzÀÄ.,Regarding Garden Work ward No 31.,05-Feb-14,173516,06-Feb-14,173516
36,8191,24-Jan-14,55638,13th Finance,13th Finance(P)2012-13(UGD),Ambiger Pamppanna Irappa,"EAqÉAmï £ÀA.8151, ºÀÄ.«.ªÁqÀđ £ÀA 65 gÀ J¸ï.JA PÀÈµÀÚ £ÀUÀgÀ F±ÀégÀ £ÀUÀgÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ªÀiÁUÀđ ºÁPÀªÀÅzÀÄ",Regarding UGD line Roads Works at S M Krishna Nagar Iswar Nagar Roads in ward No : 65,12-Feb-14,509645,13-Feb-14,509645
37,8144,22-Jan-14,52697,13th Finance,13th Finance-2012-13(UGD),K Nagaraj,"EAqÉAmï £ÀA.7277, ºÀÄ.«.ªÁqÀđ £ÀA.45gÀ ªÀÄAUÀ¼À NtÂAiÀÄ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀzÀÄ.",Providing under drainage to Mangal Oni in ward No.45 Hubli,04-Feb-14,181802,13-Feb-14,181802
38,8326,29-Jan-14,55642,13th Finance,13th Finance-2011-12(RD_BRDG),Gabbur M.S.,"EAqÉAmï £ÀA.7870, ºÀÄ.«.zÀ 65 J¸ï.JA.PÀÈµÀÚ£ÀUÀgÀzÀ°è ±Á¯É ºÀwÛgÀ ¥ÁåZï ªÀPÀđ ªÀiÁqÀÄªÀzÀÄ.",Regarding Road Development Works at S.M.Krishna  in ward No : 65 (Pot Hole Filling of Roads),10-Feb-14,388662,15-Feb-14,388662
39,7731,01-Jan-14,55643,13th Finance,13th Finance-2011-12(RD_BRDG),Gabbur M.S.,"EAqÉAmï £ÀA.7848, ºÀÄ.«.ªÁqÀđ £ÀA 65gÀ J¸ï.JA.PÀÈµÀÚ £ÀUÀgÀzÀ°è ªÀÄÄRågÀ¸ÉÛUÉ qÁA§gï ¥ÁåZï ªÀPÀđ ªÀiÁqÀÄªÀzÀÄ.",Regarding Road Development Works at S.M Krishana Roads in ward No 65 (Pot Hole filling of Roads),10-Feb-14,193268,15-Feb-14,193268
40,8468,04-Feb-14,53284,13th Finance,13th Finance-2011-12(RD_BRDG),Channalli V.B.,ºÀÄ.«.ªÁqÀđ £ÀA 29gÀ UÉÆĂ¥À£ÀPÉÆ¥Àà PÉÆ£ÉAiÀÄ §¸ï¸ÁÖ¥À UÉÆ®ègÀ PÁ®¤ gÀ¸ÉÛUÉ vÉgÉzÀ ZÀgÀAr ¤«Äđ¹ ¸Áè§ ºÁPÀÄªÀÅzÀÄ.,Regarding Open Drain Work At Gopan Koppa Last Bus Stop Golar Oni. in ward No 29.,15-Feb-14,992904,17-Feb-14,992904
41,8507,05-Feb-14,53589,13th Finance,13th Finance-2011-12(UGD),Nagaraj Krishanappa,"EAqÉAmï £ÀA.7286, ºÀÄ.«.ªÁqÀđ £ÀA 55 gÀ ªÀiÁ¯ÁƯgÀ NtÂ¬ÄAzÀ C¨sÁ¸À° ZËPÀ¢AzÀ (ªÉÆzÀ®£É ¨sÁUÀ) 6 gÀ £ÉĂ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ  ¤«Äđ¸ÀÄªÀÅzÀÄ",Regarding UGD line Road works at Maladar Oni Roads in ward No : 55,15-Feb-14,309360,17-Feb-14,309360
42,8455,03-Feb-14,57827,13th Finance,13th Finance-2012-13(SWM),Sadhana Enviro Engineering Services,WÀ£ÀvÁdå ªÀ¸ÀÄÛ ¤ªÀđºÀuÉ PÁªÀÄUÁj ªÀiÁqÀ®Ä ªÀiÁå£ïºÉÆĂ¯ï qÉ¹°ÖAUï AiÀÄAvÀæªÀ£ÀÄß RjĂ¢ ªÀiÁrzÀ ©®Äè.,Manhole De silting machine mounted on TATA Ace equivalent vehicles ( 01 Nos ),15-Feb-14,588000,17-Feb-14,588000
43,8755,13-Feb-14,61268,13th Finance,13th Finance(P)2012-13(Water),Executive Engineer Karnatak Water Board HDWS Maintenance Division Dharwad,¸ÀvÀÆÛgÀ D±ÀæAiÀÄ PÁ¯ÉÆ¤ ºÉÆ¸ÀzÁV JZï.r.¦.L. ªÀÄÄRå PÉÆ¼ÀªÉ ªÀiÁUÀđ C¼ÀªÀr¸ÀÄªÀÅzÀÄ.,Regarding Water Supply Work At Sthur Aashrya Colony H.D.P.I.E.Pipe Line Work,19-Feb-14,1600000,19-Feb-14,1600000
44,7798,03-Jan-14,53699,13th Finance,13th Finance-2011-12(UGD),Kuri Dharamanna F,ªÁqÀđ £ÀA 30 gÀ nZÀ¸Àđ PÁ®¤¬ÄAzÀ ¹zÁæªÀÄ£ÀUÀgÀzÀªÀgÉUÉ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ,Providing  UGD line From Teacher Colony to Siddram Nagar  in ward No : 30,15-Feb-14,638058,22-Feb-14,638058
45,8385,31-Jan-14,54031,13th Finance,13th Finance-2012-13(Electrical),Ujjwala Enterprises Hubli,ªÁqÀđ £ÀA 09 gÀ°è   ªÀÄ°Ö ¥ÀgÀ¥Àà ¸ÀPÀđ¯ï£À°è ºÉÊªÀiÁ¸ÀÖ J¯ï.E.r/EAqÀPÀë£ï ©Ă¢ ¢Ă¥ÀUÀ¼À£ÀÄß C¼ÀªÀr¸ÀÄªÀ PÁªÀÄUÁj,Errection of Highmast with LED/Induction Fittings in Malti Parappa Circle  in ward No 09,15-Feb-14,295355,22-Feb-14,295355
46,8524,06-Feb-14,55895,13th Finance,13th Finance-2012-13(Electrical),Ujjwala Enterprises Hubli,"ºÀÄ.«.ªÁqÀđ £ÀA.22gÀ ¸ÀÄvÀUÀnÖ, EnUÀnÖ, vÀqÀ¹£ÀPÉÆ¥ÀàUÀ¼À°è J¯ï.E.r/JAqÀPÀë£ï ©Ă¢ ¢Ă¥ÀUÀ¼À£ÀÄß C¼ÀªÀr¸ÀÄªÀ PÁªÀÄUÁj","Providing Electrical Street Lights to Sutagatti, Itigatti, Tadasankoppa in ward No.22 Dharwad.",15-Feb-14,1350316,22-Feb-14,1350316
47,6807,23-Nov-13,53667,13th Finance,13th Finance-2012-13(RD_BRDG),Gudageri Prakash,ºÀÄ§â½î «¨sÁUÀzÀ ªÁqÀđ £ÀA 33 gÀ ºÀ©Ă§ ¥Áèmï gÀ¸ÉÛUÀ¼À£ÀÄß ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ.,Regarding Road Work At Ward No 33. Habib Plot Road,04-Feb-14,996340,22-Feb-14,996340
48,8835,18-Feb-14,61129,13th Finance,13th Finance(P)2012-13(Drain),Raju S.R.,"EAqÉAmï £ÀA.15681, ºÀÄ.«.ªÁqÀđ £ÀA.59gÀ UË¹AiÀiÁmË£ï 8,9£ÉĂ PÁæ¸ï gÀ¸ÉÛAiÀÄ°è Dgï.¹.¹ vÉgÉzÀ ZÀgÀAr ¤«Äđ¸ÀÄªÀÅzÀÄ.",Construction of RCC open drain to Goushiya town 8th and 9th cross road in ward No.59,22-Feb-14,613780,26-Feb-14,613780
49,8941,20-Feb-14,61652,13th Finance,13th Finance(P)2012-13(Water),Executive Engineer Karnatak Water Board HDWS Maintenance Division Hubli,¦æAiÀÄzÀ²đ¤ PÁ®¤¬ÄAzÀ Dgï.J£ï.±ÉnÖ ªÀÄÄRågÀ¸ÉÛAiÀÄªÀgÉUÉ 200 «ÄĂ.«ÄĂ. ªÁå¸ÀzÀ ¦.«.¹. «vÀgÀuÁ ªÀÄÄRå PÉÆ¼ÀªÉ ªÀiÁUÀđ C®ªÀr¸ÀÄªÀÅzÀÄ. (200 «ÄĂ.«ÄĂ ªÁå¸ÀzÀ -250 «ÄĂlgï),Providing and laying of 200 mm dia distribution main line (PVC pipe) from At Priyadarshini Colony To R.N.Shetty Main Road (200 mm dia-250mtr).PVC Line work,20-Feb-14,300000,03-Mar-14,300000
