S. No,Br. No,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
11,6150,05-Nov-14,62184,13th Finance,13th Finance(P)2012-13(UGD),Raju H M,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 12 ªÁqÀđ £ÀA 20gÀ zÁ£ÉĂ±Àéj£ÀUÀgÀzÀ°è ¸É¦ÖPï mÁåAPï ¤«Äđ¸ÀÄªÀÅzÀÄ. (EAqÉĂ£ïÖ £ÀA.18057),Regarding UGD Line Work at Dhaneshwari Nagar in ward no 20 of Dharwad,03-Dec-14,928158,06-Dec-14,928158
12,6148,05-Nov-14,64231,13th Finance,13th Finance(P)2012-13(UGD),Sunagar .B.J.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA 08 gÀ ªÀÄtÂPÀAoÀ£ÀUÀgÀ G¥ÀgÀ¸ÉÛAiÀÄ°èM¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁUÀÆ ±ÁSÉUÀ¼À£ÀÄß PÀlÄÖªÀÅzÀÄ.(EAqÉĂ£ïÖ £ÀA.16822),Regarding UGD Line Work At Manikanth Nagar Cross Road in ward no 8,03-Dec-14,1309475,06-Dec-14,1309475
13,6642,21-Nov-14,65066,13th Finance,13th Finance(P)2012-13(UGD),Jain M.M.,ºÀÄ.«.ªÁqÀđ £ÀA 48 gÀ UÁA¢üªÁqÁ ªÀÄÄRågÀ¸ÉÛ ¯Á®§ºÀzÀÆƯgÀ PÁ¯ÉÆĂ¤¬ÄAzÀ £Á¯ÁzÀªÀgÉUÉ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.,Regarding UGD Line work At Gandhi Wada Main Road Laal Bahaddhur Colony To Nala. in ward no 48,03-Dec-14,416002,06-Dec-14,416002
14,6396,15-Nov-14,62232,13th Finance,13th Finance-2013-14(Bldg),Morab A N,zsÁgÀªÁqÀ ªÀÄºÁ£ÀUÀgÀ ¥Á°PÉ PÉĂAzÀÀæ PÀZÉĂj DªÀgÀt ªÀÄÆåfAiÀÄA PÀlÖqÀ ¥ÀPÀ̀zÀ ±ËZÁ®AiÀÄ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ. (EAqÉĂ£ïÖ £ÀA.17239),"Development of toilets in hdmc Central office building musiam side 
",03-Dec-14,447042,06-Dec-14,447042
15,5297,09-Oct-14,62004,13th Finance,13th Finance-2013-14(UGD),Bepari .Aijaz Ahmed,"EAqÉAmï £ÀA.15557, ºÀÄ.«.ªÁqÀđ £ÀA 44 gÀ ZÀ£Àß¥ÉĂl gÀ¸ÉÛAiÀÄ°è ºÁUÀÆ ªÉAPÀmÉĂ±ÀégÀ UÀÄr ºÀwÛgÀ ºÉÆ¸ÀzÁV ZÉA§gÀ PÀlÄÖªÀÅzÀÄ, RgÁ¢ NtÂ,CgÀ""AzÀ £ÀUÀgÀ ¹RgÀ ªÀÄ£É ºÀwÛgÀ, eÉÆåĂw ©°ØAUï ºÀwÛgÀ ZÉA§gÀ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ.",Construction of  New chambers at Channapet and near Venkateshwar Temple and Laying of  Chamber cover Khardi Oni Aravidnagar sikar house and near jothi building    in ward no. 44.,03-Dec-14,213701,06-Dec-14,213701
16,5504,14-Oct-14,63945,13th Finance,13th Finance-2013-14(Electrical),Ujjwala Enterprises Hubli,ºÀÄ§â½îAiÀÄ ªÁqÀđ £ÀA 37 gÀ°è §gÀÄªÀ §AeÁgÀ PÁ®¤AiÀÄ°è ©Ă¢ ¢Ă¥ÀUÀ¼À£ÀÄß §zÀ¯Á¬Ä¹ ºÉÆ¸ÀzÁV ©Ă¢ ¢Ă¥ÀUÀ¼À£ÀÄß C¼ÀªÀr¸ÀÄªÀzÀÄ,Providing New Straight lights Banjara colony  in ward No.37,15-Dec-14,155346,16-Dec-14,155346
17,6919,01-Dec-14,61682,13th Finance,13th Finance(P)2012-13(Drain),Prem Sai Group,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 12 ªÁqÀđ £ÀA 20gÀ ¨sÁ«PÀnÖ ¥Áèl£À°è vÉgÉzÀ ZÀgÀAr ¤«Äđ¸ÀÄªÀÅzÀÄ. (EAqÉĂ£ïÖ £ÀA.16853),Construction of Open drain at Bhavikatti plot in ward no .20 of Dharwad,17-Dec-14,375239,18-Dec-14,375239
18,7280,11-Dec-14,63765,13th Finance,13th Finance(P)2012-13(Drain),Tarlagatti C.Y.,ºÀÄ.«.ªÁqÀđ £ÀA 35 gÀ vÉÆĂ¼À£ÀPÉĂj vÀÄA© ºÀjzÀ£ÀAvÀgÀ ºÉÆgÀ ¤ĂgÀÄ ºÉÆĂUÀ®Ä PÁ½zÁ¸À £ÀUÀgÀ PÁæ¸À ªÀgÉUÉ Dgï.¹.¹ vÉgÉzÀ ZÀgÀAr ¤«Äđ¸ÀÄªÀÅzÀÄ.,Regarding Drain Work At Tholankeri To Kalidas nagar Cross in ward no 35.,18-Dec-14,3656157,18-Dec-14,3656157
19,6551,19-Nov-14,53074,13th Finance,13th Finance-2011-12(RD_BRDG),Jadhav V.S.,"zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 12 ªÁqÀđ £ÀA 16gÀ ªÀÄAdÄ£ÁxÀ¥ÀÆgÀ, UË½UÀ°è, qÁA§gÀ ¥ÁåZÀ ªÀiÁqÀÄªÀzÀÄ (EAqÉĂ£ïÖ £ÀA. 7719)",Regarding Road Development Works at Manjunathpur in ward No : 16 (Pot Hole Filling of Roads),15-Dec-14,787206,18-Dec-14,787206
20,5919,28-Oct-14,55937,13th Finance,13th Finance-2010-11(swm),Maniar and Company,¸À£ï 2010-11£ÉĂ ¸Á°£À 13£ÉĂ ºÀtPÁ¹£À C£ÀÄzÁ£ÀzÀ°è vÉgÉzÀ £Á¯Á r¸ïènAUï ªÀÄ²Ă£ï (vÉgÉzÀ £Á¯Á ¸ÀéZÀ̉vÁ) AiÀÄAvÀæªÀ£ÀÄß J¸ï.qÀ§Æèöå.JªÀiï SÁvÉUÉ   ªÁºÀ£ÀªÀ£ÀÄß RjĂ¢¸À¯ÁVzÀÄƯ ªÀÄ¤AiÀiÁgÀ & PÀA¥À¤ EªÀjUÉ ºÀt ¸ÀAzÁAiÀÄ ªÀiÁqÀÄªÀ PÀÄjvÀÄ,"13th finance pay to Maniar & Com, Ahmedabad",19-Dec-14,189750,22-Dec-14,189750
21,6793,27-Nov-14,61680,13th Finance,13th Finance(P)2012-13(Drain),Prem Sai Group,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA 07 «zÁågÀtå ±Á¯ÉAiÀÄ r¥ÉÆĂ gÉÆĂqÀzÀ°è vÉgÉzÀ ZÀgÀAr PÁªÀÄUÁj. (EAqÉĂ£ïÖ £ÀA.16802),Construction of  open drain in Vidyaranya School depo road  in Dwd ward no.7  of Dharwad.,24-Dec-14,484437,26-Dec-14,484437
22,6558,20-Nov-14,63333,13th Finance,13th Finance-2011-12(RD_BRDG),Gudageri Prakash,ºÀÄ.«.zÀ 40 PÉĂ±ÀªÀPÀÄAd JzÀÄjUÉ gÀ¸ÉÛ zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ.,Regarding Road Development Works at Keshawkunj Roads in ward No : 40 (Restoration of Roads for Existing),15-Dec-14,200020,26-Dec-14,200020
23,2580,28-Jun-14,57827,13th Finance,13th Finance-2012-13(SWM),Sadhana Enviro Engineering Services,WÀ£ÀvÁdå ªÀ¸ÀÄÛ ¤ªÀđºÀuÉ PÁªÀÄUÁj ªÀiÁqÀ®Ä ªÀiÁå£ïºÉÆĂ¯ï qÉ¹°ÖAUï AiÀÄAvÀæªÀ£ÀÄß RjĂ¢ ªÀiÁrzÀ ©®Äè.,Manhole Desilting machine mounted on TATA Ace equivalent vehicles ( 01 Nos ),24-Dec-14,147000,26-Dec-14,147000
24,7477,19-Dec-14,62234,13th Finance,13th Finance(P)2012-13(Bldg),Morab A N,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj 01 ªÁqÀđ £ÀA 14gÀ ªÀ®AiÀÄ PÀZÉĂj 1 gÀ PÀlÖqÀzÀ £À«ĂPÀgÀt PÁªÀÄUÁj (EAqÉĂ£ïÖ £ÀA. 17382),Regrding Building Work At Dharwad Division ( Zoonal 1 ),26-Dec-14,373838,01-Jan-15,373838
25,7577,22-Dec-14,61876,13th Finance,13th Finance(P)2012-13(Garden),Hanchinmani Nagesh R,ºÀÄ§â½î  ªÁqÀđ £ÀA. 28 UÀÄgÀÄzÉĂªÀ£ÀUÀgÀ GzÁå£ÀªÀ£À C©üªÀÈ¢̃ ¥Àr¸ÀÄªÀzÀÄ,Improvements to gurudevanagar garden in w.no.28,31-Dec-14,359084,01-Jan-15,359084
26,5074,23-Sep-14,61792,13th Finance,13th Finance-2013-14(UGD),Kaller Somashekhar Bhimappa,"EAqÉAmï £ÀA.15558, ºÀÄ.«.ªÁqÀđ £ÀA 45 gÀ JZï.r.JA.¹ PÁél¸Àđ ZÉA§gÀ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ, PÀÄ®PÀtÂđZÁ¼À UÀuÉĂ±À UÀÄr »AzÉ, »gÉĂªÀÄoÀ ªÀÄ£É ªÀÄÄAzÉ ºÁUÀÆ AiÀiÁªÀUÀ¯ï ¥Áèl 2£ÉĂ CqÀØ gÀ¸ÉÛAiÀÄ°è ºÉÆ¸ÀzÁV ZÉA§gÀ PÀlÄÖªÀÅzÀÄ.","Providing Fixing  of Chamber cover in HDMC qutrs  and Construction of Chamber near Kulkarni chal, Ganesh Temple, Hirmata House and Yavagal plot 
",30-Dec-14,164431,01-Jan-15,164431
27,7838,30-Dec-14,61822,13th Finance,13th Finance(P)2012-13(Drain),Talewad N.H.,"EAqÉAmï £ÀA.15662, ºÀÄ.«.ªÁqÀđ £ÀA 51 gÀ ±ÉlÖgÀ NtÂ CqÀØgÀ¸ÉÛAiÀÄ°è ZÀAzÀæPÀ¯Á xÉĂlgÀ ºÀwÛgÀ vÉgÀvÉzÀ ZÀgÀAr PÀlÄÖªÀÅzÀÄ.",Regarding Drain Work At Shetter Oni Cross Road in ward no 51,02-Jan-15,531588,03-Jan-15,531588
28,7566,22-Dec-14,66157,13th Finance,13th Finance(P)2012-13(UGD),Waddar Shankar Hallappa,ºÀÄ.«.ªÁqÀđ £ÀA 28 PÀ£ÀßqÀ ¨sÀªÀ£À PÀlÖqÀPÉ̀ M¼ÀZÀgÀAr ¸Ë®§å MzÀV¸ÀÄªÀÅzÀÄ.(8443),Regarding UGD Line Work At Kannada Bhavan Building in ward no 28 (Indent No:-18443),02-Jan-15,367033,03-Jan-15,367033
29,7847,30-Dec-14,61827,13th Finance,13th Finance-2013-14(UGD),Talewad N.H.,"EAqÉAmï £ÀA.15545, ºÀÄ.«.ªÁqÀđ £ÀA 51 gÀ ²UÁÎAªÀªÀÄoÀ ZÁ¼ÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ªÀiÁUÀđ ºÁPÀÄªÀzÀÄ ºÁUÀÆ ZÉĂA§gÀUÀ¼À£ÀÄß PÀlÄÖªÀzÀÄ.",Laying of UGD line and construction of chambers at Shiggonmatt chawl in ward no. 51,02-Jan-15,186839,03-Jan-15,186839
30,7968,01-Jan-15,61707,13th Finance,13th Finance(P)2012-13(UGD),Naragund M.Y.,"ºÀÄ§â½î ªÁqÀđ £ÀA. 30 ªÉAPÀmÉĂ±À PÁ¯ÉÆĂ¤, PÁ¼É ¯ÉĂOmï »AzÉ ºÁUÀÆ zÁåªÀÄªÀé£À UÀÄr ºÀwÛgÀ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀzÀÄ.",Providing and laying UGD at venkatesh colony kale layout back side and  near dyamavvana temple in w.no.30,06-Jan-15,551256,08-Jan-15,551256
31,8244,09-Jan-15,69110,13th Finance,13th Finance-2013-14(RD_BRDG),Executive Engineer K.R.I.D.L Dharwad,zsÁ.«.ªÁqÀđ £ÀA 15 gÀ ªÀÄ»¶ gÀ¸ÉÛUÀ¼À ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ,Improvments to Mahishi road of ward No : 15,09-Jan-15,4000000,09-Jan-15,4000000
32,8250,12-Jan-15,62177,13th Finance,13th Finance-2011-12(RD_BRDG),Raju S.R.,ºÀÄ.«.zÀ ªÁqÀđ £ÀA.40 gÀ gÁªÀÄPÀÈµÀÚ D±ÀæªÀÄ¢AzÀ D£ÀAzÀ £ÀUÀgÀPÉ̀ ºÉÆĂUÀÄªÀ gÀ¸ÉÛAiÀÄ ªÀÄzsÀåzÀ°ègÀÄªÀ £Á¯ÁPÉ̀ ¸ÉĂvÀÄªÉ ¤ªÀiÁđt ªÀiÁqÀÄªÀzÀÄ.,Construction of Bridge on Akshay Park- Anand Nagar Road Across the Flowing Nala of Ward No 40,16-Jan-15,1680817,19-Jan-15,1680817
33,7779,27-Dec-14,61532,13th Finance,13th Finance(P)2012-13(Drain),Basanagoudar B.Y.,"EAqÉAmï £ÀA.15675, ºÀÄ.«.ªÁqÀđ £ÀA 61 PÀÈµÁÚ¥ÀÆgÀ ªÀÄÄRå gÀ¸ÉÛ¬ÄAzÀ PÁgÀªÁgÀ gÀ¸ÉÛ¬ÄAzÀ Dgï.¹.¹ UÀmÁgÀ ¤«Äđ¸ÀÄªÀÅzÀÄ.",Regarding Drain Work At Krishanapur main Road Karwar Road in ward no 61,16-Jan-15,422706,23-Jan-15,422706
34,8013,03-Jan-15,61696,13th Finance,13th Finance-2013-14(RD_BRDG),Ishwaragouda .S. Patil,ºÀÄ§â½î «¨sÁUÀzÀ ªÁqÀđ £ÀA. 25gÀ ¸Á¬Ä£ÀUÀgÀ PÉgÉ ¥ÀPÀ̀zÀ gÀ¸ÉÛUÉ PÀ®élđ ¤«Äđ¸ÀÄªÀÅzÀÄ ºÁUÀÆ PÀ¯ÉäĂ±ÀégÀ £ÀUÀgÀzÀªÀgÉUÉ gÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ.,Construction of culvert near Sai nagar lake and Improvement to kalmeshwar nagar road of ward No : 25,21-Jan-15,795906,23-Jan-15,795906
35,7606,23-Dec-14,61770,13th Finance,13th Finance-2013-14(UGD),Kusugal Sandeep K,ºÀÄ§â½î 36 ®QëöäĂ £ÀUÀgÀzÀ°è  M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀzÀÄ.,Providing and laying UGD at laxminagar in w.no.36,21-Jan-15,90687,23-Jan-15,90687
36,8140,06-Jan-15,66248,13th Finance,13th Finance-2012-13(Drain),Shibhargatti Z.T,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 03 ªÁqÀđ £ÀA 04 gÀ°è ªÀiÁ¼Á¥ÀÆgÀzÀ°è vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj. (EAqÉĂ£ïÖ £ÀA. 7740),Regarding Drains wrosk at Malapur Roads in ward No 4 of Dharwad.,21-Jan-15,313955,24-Jan-15,313955
37,8453,19-Jan-15,52615,13th Finance,13th Finance(P)2011-12(Bldg),Nayar K K,"EAqÉAmï £ÀA.7275, ºÀÄ.«.ªÁqÀđ £ÀA 47 gÀ PÀbÉĂj PÀlÖqÀ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ",Regarding Building works in ward No : 47,24-Jan-15,183813,27-Jan-15,183813
38,8204,08-Jan-15,61894,13th Finance,13th Finance(P)2012-13(UGD),Madalli B. A.,ºÀÄ.«.ªÁqÀđ £ÀA 33 gÀ §£À±ÀAPÀj ºÁUÀÆ EA¢gÁ PÁ¯ÉÆĂ¤AiÀÄ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.,Regarding UGD Line Work At Banashankari & Indira Colony. in ward no 33,24-Jan-15,258887,27-Jan-15,258887
39,8546,21-Jan-15,65069,13th Finance,13th Finance-2013-14(RD_BRDG),Ishwaragouda .S. Patil,ºÀÄ§â½î «¨sÁUÀzÀ ªÁqÀđ £ÀA. 48gÀ ¥É¹¦PÀ PÁ®Æ¤AiÀÄ ªÀÄ°èPÁdÄđ£À £ÀUÀgÀ¢AzÀ £À«Ă£À ¥ÁPÀđUÉ PÀÆqÀÄªÀ ªÀÄÄRå gÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ,improvements to approach road of pacific colony from mallikarjun nagar  naveen park of ward no.48,24-Jan-15,4636959,27-Jan-15,4636959
40,8547,21-Jan-15,65070,13th Finance,13th Finance-2013-14(RD_BRDG),Ishwaragouda .S. Patil,ºÀÄ.«.ªÁqÀđ £ÀA 40 gÀ PÉÆĂn°AUÀ £ÀUÀgÀ qÁ®gÀ́ PÁ®¤ ¢AzÀ Dgï.J£ï ±ÉnÖ ¥sÁåPÀÖj gÀ¸ÉÛUÀ¼À£ÀÄß ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ,Improvements to main road of kotillinga nagar from Dollars colony to R.N Shetty factory approach road of ward No: 40,24-Jan-15,4892556,29-Jan-15,4892556
41,8753,27-Jan-15,65077,13th Finance,13th Finance(P)2012-13(Bldg),Morab A N,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 03 ªÁqÀđ £ÀA. 12 gÀ ªÀÄºÁ£ÀUÀgÀ ¥Á°PÉ PÉĂAzÀæ PÀZÉĂj PÀlÖqÀ ¸ÀÄzsÁgÀuÉ. (EAqÉĂ£ïÖ £ÀA. 17240),Regarding Building Work At Hubli Division Mahanagar Palike Central Office,07-Feb-15,273550,09-Feb-15,273550
42,8752,27-Jan-15,64238,13th Finance,13th Finance(P)2012-13(Drain),Sunagar .B.J.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 03 ªÁqÀđ £ÀA 15gÀ ºÉÆ¸ÀAiÀÄ¯Áè¥ÀÆgÀ ªÀÄÄRågÀ¸ÉÛ JqÀ¨sÁUÀzÀ ªÀÄÄRå ZÀgÀAr ¸ÀÄzsÁgÀuÉ. (EAqÉĂ£ïÖ £ÀA.17233),Improvements of New yallapur Main Road  in rain water drainage  in ward no 15,04-Feb-15,896293,09-Feb-15,896293
43,8826,29-Jan-15,66332,13th Finance,13th Finance-2011-12(Bldg),Raj Electricles,zsÁgÀªÁqÀ «¨sÁUÀzÀ ªÁ.£ÀA. 14 gÀ°è §gÀÄªÀ GzÀAiÀÄ ºÁ¸ÉÖĂ¯ï gÉÆĂr£À°ègÀÄªÀ PÀlÖqÀPÉ̀ ¸ÀÜ¼ÁAvÀgÀUÉÆAqÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA. 1 £ÀÄß «zÀÄåwÛĂPÀgÀtUÉÆ½¸ÀÄªÀÅzÀÄ.,Electrification to Zonal 1 building at uday hostel road in w.no.14 of Dharwad Division,07-Feb-15,64693,09-Feb-15,64693
44,8827,29-Jan-15,63978,13th Finance,13th Finance-2013-14(Bldg),Palkar Shivayogi Channappa,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 12 ªÁqÀđ £ÀA 22 gÀ eÉÆĂUÉ¯Áè¥ÀÆgÀ UÁæªÀÄzÀ°è ¨Á®¨sÀªÀ£À ¤«Äđ¸ÀÄªÀÅzÀÄ. (EAqÉĂ£ïÖ £ÀA. 18058),Construction of Balabhavan in Jogellapur Village in ward No.22,07-Feb-15,294069,09-Feb-15,294069
45,8977,03-Feb-15,62024,13th Finance,13th Finance-2013-14(Bldg),Nayar K K,"EAqÉAmï £ÀA.15716, ºÀÄ.«.ªÁqÀđ £ÀA 47 gÀ ¥Á°PÉ DªÀgÀtzÀ°ègÀÄªÀ PÀlÖqÀUÀ¼À zÀÄgÀ¹Ü ªÀÄvÀÄÛ C©üªÀÈ¢̃.",Regarding Building Work At Hubli Dharwad Mahangar Palike. in ward no 47,09-Feb-15,1311105,09-Feb-15,1311105
46,8975,02-Feb-15,61928,13th Finance,13th Finance-2013-14(RD_BRDG),B Tirupati Reddi,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA 11gÀ PÉ¹¹ ¨ÁåAPï¢AzÀ «ªÉĂPÁ£ÀAzÀ ¸ÀPÀđ¯ïªÀgÉV£À gÀ¸ÉÛUÀ¼À£ÀÄß ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ.(EAqÉĂ£ïÖ £ÀA. 17910),Improvements to road from KCC Bank to Vivekananad Circle of ward No : 11 of Dharwad.,11-Feb-15,3944830,11-Feb-15,3944830
