S. No,Br. No,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
23,1238,21-May-13,53252,13th Finance,13th Finance-2011-12(Electrical),V.S.Associates,zsÁ « zÀ ¥ÀqÀÄ©¢æ  aPÀ̀®UÀÄqÀØ gÁdå ºÉzÁƯj  £ÀA -1 PÀªÀÄ¯Á¥ÀÆgÀ gÉÊvÀ ¨sÀªÀ£À  JzÀÄgÀÄ ºÉÊªÀiÁ¸ÀÖ C¼ÀªÀr¸ÀÄªÀ PÁªÀÄUÁj,"Errection of High Mast Opposite Kamalapur Rait Bhavan, Padubidri Chikkalagudd state Highway no-1 of Dharwad Division",30-May-13,302675,30-May-13,302675
24,1322,23-May-13,53418,13th Finance,13th Finance-2011-12(RD_BRDG),Basanagoudar B.Y.,"EAqÉAmï £ÀA.7871, ºÀÄ.«.zÀ ªÁ,£ÀA 63 gÀ°è gÀ¸ÉÛ ¥ÀÄ£ÀgÀ £ÀªÀiÁđt (£ÀÆgÁ¤ ¥ÁèlzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁQ ZÉĂA§gÀUÀ¼À£ÀÄß PÀlÄÖªÀzÀÄ).",(Regarding Repair and Reconstruction of CD Works)  in ward No : 63,31-May-13,347491,03-Jun-13,347491
25,111,03-Apr-13,53026,13th Finance,13th Finance-2011-12(RD_BRDG),Nayak T.D.,ºÀÄ.«.zÀ ªÁ.£ÀA 46 gÀ°èAiÀÄ ¤Ă°d£À gÀ¸ÉÛAiÀÄ°è «.Dgï.J¯ï UÀÆqÁ£À JzÀÄjUÉ ZÀgÀAr ªÉÄĂ¯É ¸Áèöå§ ºÁQ ¥sÀÄl¥ÁvÀ ¤ªÀiÁđt ªÀÄvÀÄÛ ºÀÄ.«.zÀ vÁjºÁ¼ÀzÀ°è ZÀgÀArUÀ¼À£ÀÄß ¸Áèöå§ ºÁQ PÀªÀgÀ ªÀiÁqÀÄªÀzÀÄ.,Regarding Coverningr of Open Drains and Foot Paths at Nilijan Roads in ward No : 46,04-Jun-13,283576,04-Jun-13,283576
26,1695,03-Jun-13,53663,13th Finance,13th Finance-2011-12(RD_BRDG),Savadi S.K.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 01 ªÁqÀđ £ÀA 14 ¸ÉÖĂ±À£ï gÀ¸ÉÛAiÀÄ°è ZÀgÀAr ªÉÄĂ¯É ¸Áèöå§ ºÁQ ¥sÀÄl¥Ávï ¤«Äđ¸ÀÄªÀÅzÀÄ.   (EAqÉĂ£ïÖ £ÀA. 7896),Regarding Coverningr of Open Drains and Foot Paths Roads in ward No : 14 at Dharwad.,06-Jun-13,5377943,06-Jun-13,5377943
27,1749,04-Jun-13,54735,13th Finance,13th Finance-2012-13(RD_BRDG),Jadhav V.S.,"zsÁgÀªÁqÀ «¨sÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 01  ªÁqÀđ £ÀA. 12 gÀ°èAiÀÄ dÄå§° ¸ÀPÀđ¯ï, zÁ¸À£ÀPÉÆ¥Àà ¸ÀPÀđ¯ï, ²æĂ£ÀUÀgÀ ¸ÀPÀđ¯ï  PÉ.¹.¹ ¨ÁåAPÀ, ªÀÄvÀÄÛ «ªÉĂPÁ£ÀAzÀ ¸ÀPÀđ®UÀ¼À£ÀÄß ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ. [EAqÉĂ£ïÖ £ÀA.8483]",Regarding Road Work At Ward No 12 Jubli Cricle Dasan Koppa Cricle. Shri Nagar Cricle. K.C.C.Bank Cricle.at Dharwad.,06-Jun-13,2290799,06-Jun-13,2290799
28,1690,03-Jun-13,53672,13th Finance,13th Finance-2012-13(Drain),Nemikal H.F.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 01 ªÁqÀđ  £ÀA 2 gÀ°è dªÀÄRArªÀÄoÀ ¯ÉĂOlzÀ°è vÉgÉzÀ Dgï.¹.¹. ZÀgÀAr ¤«Äđ¸ÀÄªÀzÀÄ (EAqÉĂ£ïÖ £ÀA.7696),Regarding Drain Road works at Jamakhandi leout in ward No : 2,07-Jun-13,258476,07-Jun-13,258476
29,1689,03-Jun-13,53674,13th Finance,13th Finance-2012-13(Drain),Nemikal H.F.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 01 ªÀqÀđ £ÀA 14 gÀ°è ªÀiÁ¼ÀªÀÄrØ £ÁqÀUÉĂgÀ »nÖ£À VgÀtÂ ºÀwÛgÀ vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj. (EAqÉĂ£ïÖ £ÀA. 7159),Regarding Drain Road wroks at Malmaddi  Road in ward No : 14 of Dharwad,07-Jun-13,299588,07-Jun-13,299588
30,1694,03-Jun-13,53080,13th Finance,13th Finance-2011-12(RD_BRDG),Savadi S.K.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 03 ªÁqÀđ £ÀA 05 gÀ J¦JªÀÄ¹ 1£ÉĂ UÉĂl¢AzÀ ¤ªÀÄđ® ±ËZÁ®AiÀÄzÀªÀgÉUÉ °ĂqÀ D¥sÀ qÉæĂ£À ¤ªÀiÁđt. (EAqÉĂ£ïÖ £ÀA. 7692),Regarding Drains Road works at APMC 1st  in ward No : 5 (Repair to Drains) Indent No 7692,10-Jun-13,2374732,10-Jun-13,2374732
31,382,12-Apr-13,52824,13th Finance,13th Finance-2011-12(RD_BRDG),Nayak T.D.,ºÀÄ.«.ªÁqÀđ £ÀA 31 ºÀ¼ÉĂ §zÁ«Ä£ÀUÀgÀ ªÀÄÄRågÀ¸ÉÛ zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ.,Regarding Road Development Works at Badami Nagar Roads in ward No : 31 (Restoration of Roads for Existing),13-Jun-13,193327,13-Jun-13,193327
32,1604,30-May-13,53931,13th Finance,13th Finance(P)2011-12(UGD),Bhovi Vivekanand  L,"EAqÉAmï £ÀA.5497, ºÀÄ.«.ªÁqÀđ £ÀA 53 gÀ°è UÉÆĂ¥Á® CUÀ¹ ªÀÄ£É¬ÄAzÀ zÀUÁđ ªÀgÉUÉ AiÀÄÄ.f.r ¯ÉÊ£ï ºÁPÀÄªÀÅzÀÄ",Regarding UGD line road wroks in ward No 53 (III),14-Jun-13,167425,15-Jun-13,167425
33,1581,29-May-13,55937,13th Finance,13th Finance-2010-11(swm),Maniar and Company,¸À£ï 2010-11£ÉĂ ¸Á°£À 13£ÉĂ ºÀtPÁ¹£À C£ÀÄzÁ£ÀzÀ°è vÉgÉzÀ £Á¯Á r¸ïènAUï ªÀÄ²Ă£ï (vÉgÉzÀ £Á¯Á ¸ÀéZÀ̉vÁ) AiÀÄAvÀæªÀ£ÀÄß J¸ï.qÀ§Æèöå.JªÀiï SÁvÉUÉ   ªÁºÀ£ÀªÀ£ÀÄß RjĂ¢¸À¯ÁVzÀÄƯ ªÀÄ¤AiÀiÁgÀ & PÀA¥À¤ EªÀjUÉ ºÀt ¸ÀAzÁAiÀÄ ªÀiÁqÀÄªÀ PÀÄjvÀÄ,"13th finance pay to Maniar & Com, Ahmedabad",14-Jun-13,759000,15-Jun-13,759000
34,2032,12-Jun-13,56426,13th Finance,13th Finance-2011-12(swm),Basava Equipments,¸À£ï 2011-12£ÉĂ ¸Á°£À 13£ÉĂ ºÀtPÁ¹£À C£ÀÄzÁ£ÀzÀ°è mÁæöåPÀÖgï «xï mÉÊ®gï ªÀÄ²Ă£ï AiÀÄAvÀæªÀ£ÀÄß J¸ï.qÀ§Æèöå.JªÀiï SÁvÉUÉ ªÁºÀ£ÀªÀ£ÀÄß RjĂ¢¸À¯ÁVzÀÄƯ (ªÀÄAdÄ © zÁåªÀÄtÚªÀgÀ) §¸ÀªÀ EPÀÆå¥ÀªÉÄĂAmï EªÀjUÉ ºÀt ¸ÀAzÁAiÀÄ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,13th finance pay to Manju B Dyamannavar Basava Equipments( John Deere),14-Jun-13,1393694,15-Jun-13,1393694
35,1753,04-Jun-13,53744,13th Finance,13th Finance-2011-12(UGD),Ambiger Pamppanna Irappa,"EAqÉAmï £ÀA.7288, ºÀÄ.«.ªÁqÀđ £ÀA 55 gÀ C¨Áâ¸Á° ZËPÀ¢AzÀ ¦.©.gÀ¸ÉÛAiÀÄªÀgÉUÉ 6 EAZÀÄ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ¤«Äđ¸ÀÄªÀÅzÀÄ.",Regarding UGD line Road works at Abhas ali Chouck to P.B Roads in ward no 55,17-Jun-13,315668,18-Jun-13,315668
36,2100,13-Jun-13,53525,13th Finance,13th Finance-2012-13(Garden),Akki Prakash Gurubasappa,"EAqÉAl £ÀA - 8179, PÀÄA¨sÀPÉÆĂtA ¥Áèl£À°èAiÀÄ UÁqÀđ£ï C©üªÀÈ¢̃¥Àr¸ÀÄªÀzÀÄ.","Indent No - 8179, Improvements to Garden in Kumbakonam Plot.",24-Jun-13,298008,25-Jun-13,298008
37,477,18-Apr-13,54512,13th Finance,13th Finance-2011-12(RD_BRDG),Kommi Chandarsekhar,ºÀÄ « zÀ ªÁ £ÀA. 64gÀ E¸ÁèA¥ÀÆgÀ PÀlPÀgÀ NtÂAiÀÄ gÀ¸ÉÛUÉ ¥ÁåZï ªÀiÁqÀÄªÀzÀÄ.,Providing patch work to Islampur Katagar Oni  Road at W.No. 64.,26-Jun-13,49837,28-Jun-13,49837
38,476,18-Apr-13,54511,13th Finance,13th Finance-2011-12(RD_BRDG),Kommi Chandarsekhar,ºÀÄ « zÀ ªÁ £ÀA. 62gÀ ©ĂgÀ§AzÀ NtÂ ªÀÄ¸ÀÆw ºÀwÛgÀ ºÁUÀÆ CAiÉÆĂzsÁå£ÀUÀgÀ ªÀÄÄRå gÀ¸ÉÛUÉ ¥ÁåZï ªÀiÁqÀÄªÀzÀÄ.,Providing patch Birband Oni near Mosque and Ayodhyanagr Main Road at W.No. 62.,26-Jun-13,72159,28-Jun-13,72159
39,479,18-Apr-13,54514,13th Finance,13th Finance-2011-12(RD_BRDG),Kommi Chandarsekhar,ºÀÄ « zÀ ªÁ £ÀA. 64gÀ UË¹AiÀiÁ£ÀUÀgÀ ªÀÄÄRå gÀ¸ÉÛUÉ ¥ÁåZï ªÀiÁqÀÄªÀzÀÄ.,Providing patch to Gousiyanagar Main Road at W.No. 64.,26-Jun-13,24929,28-Jun-13,24929
40,480,18-Apr-13,54476,13th Finance,13th Finance-2011-12(RD_BRDG),Kommi Chandarsekhar,ºÀÄ « zÀ ªÁ £ÀA. 61gÀ PÀÈµÁÚ¥ÀÆgÀ ªÀÄÄRå gÀ¸ÉÛUÉ ¥ÁåZï ªÀPÀđ ªÀiÁqÀÄªÀzÀÄ.,Providing patch work to Krishnapur Main Road at W.No. 61.,26-Jun-13,49788,28-Jun-13,49788
41,478,18-Apr-13,54475,13th Finance,13th Finance-2011-12(RD_BRDG),Kommi Chandarsekhar,ºÀÄ « zÀ ªÁ £ÀA. 63gÀ £ÉĂPÁgÀ£ÀUÀgÀ CªÀÄgÀeÉÆåĂw ±Á¯É ºÀwÛgÀ ¥ÁåZï ªÀPÀđ ªÀiÁqÀÄªÀzÀÄ.,Providing patch work to Nekarnagar near Amarjyoti School Road at W.No. 63.,26-Jun-13,24863,28-Jun-13,24863
42,2933,08-Jul-13,53421,13th Finance,13th Finance-2012-13(Drain),Palkar Shivayogi Channappa,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉj £ÀA 02 ªÁqÀđ £ÀA 09 gÀ°è ªÁ°äQ NtÂ »gÉĂªÀÄoÀ NtÂ ºÉÆ¸ÀAiÀÄ¯Áè¥ÀÆgÀ  ¥ÀgÀ¥Àà ¸ÀPÀđ®£À°è Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀiÁUÁj (EAqÉĂ£ïÖ £ÀA.7136),Regarding  Drains Road works at Valmiki Road in ward No 09,18-Jul-13,469275,19-Jul-13,469275
43,3077,11-Jul-13,53964,13th Finance,13th Finance(P)2011-12(UGD),Doddamani N.M.,"EAqÉAmï £ÀA.8473, ºÀÄ.«.ªÁqÀđ £ÀA 67  gÀ ¸Ád£À ¥sÁåPÀÖj »A¨ÁUÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ªÀiÁUÀđ ºÁPÀÄªÀÅzÀÄ.",Regarding UGD line Road works in ward No : 67,31-Aug-13,288234,02-Sep-13,288234
44,4160,19-Aug-13,54736,13th Finance,13th Finance-2012-13(RD_BRDG),Jadhav V.S.,zsÁgÀªÁqÀ «¨sÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 03 ªÁqÀđ £ÀA. 3 ºÀÄ©îPÀgÀ ¥ÁèlzÀ°è ªÀÄvÀÄÛ ªÀÄAUÀ¼ÀUÀnÖ ¥ÁèlzÀ°è gÀ¸ÉÛ ªÀÄvÀÄÛ vÉgÉzÀ ZÀgÀAr zÀÄgÀ¹Û ªÀiÁqÀÄªÀÅzÀÄ. [ 8482],Regarding Drain Work At Ward No 3 Hublikar Plot & Mangal Gatti Plot Road. at Dharwad,31-Aug-13,1922365,02-Sep-13,1922365
45,3076,11-Jul-13,52752,13th Finance,13th Finance-2012-13(UGD),Doddamani N.M.,"EAqÉAmï £ÀA.7307, ºÀÄ.«.ªÁqÀđ £ÀA.67gÀ ªÀÄzÀ¤PÁ®¤AiÀÄ°è ªÀÄvÀÄÛ §¤ßªÀÄºÁPÁ½ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.",Providing under drainage to Madani Colony and Bannimahakali in ward No.67 Hubli,31-Aug-13,299510,02-Sep-13,299510
46,2907,06-Jul-13,53582,13th Finance,13th Finance-2012-13(UGD),Gangavati S.S.,ºÀÄ.«.ªÁqÀđ £ÀA 35 gÀ gÉĂ® £ÀUÀgÀzÀ°è M¼ÀZÀgÀAr PÁªÀÄUÁj ¤«Äđ¸ÀÄªÀÅzÀÄ.,regarding UGD line wrosk in ward No : 35,31-Aug-13,76421,02-Sep-13,76421
47,3226,17-Jul-13,53543,13th Finance,13th Finance-2012-13(Drain),Malagimani Ashok M,"EAqÉAmï £ÀA.7311, ºÀÄ.«.ªÁqÀđ £ÀA 63 gÀ°è gÀtzÀªÀiÁä PÁ®¤AiÀÄ°è vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj.",Regarding Drain Road wroks at Ranadamma colony Road in ward No : 63,31-Aug-13,229309,03-Sep-13,229309
48,3025,10-Jul-13,53542,13th Finance,13th Finance-2012-13(Drain),Malagimani Ashok M,"EAqÉAmï £ÀA.7299, ºÀÄ.«.ªÁqÀđ £ÀA 54 gÀ°è £ÁgÁAiÀÄt zÉÆĂtÂ ªÀÄÆwđ ºÀwÛgÀ¢AzÀ PÀ¯ÁzÀV NtÂ £Á¯Á vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj",Regarding Drain Road wroks at kaladagi oni Nala Road in ward No : 54,31-Aug-13,138196,03-Sep-13,138196
