S. No,Br. No,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
11,6411,19-Nov-12,51757,13th Finance,13th Finance-2011-12(swm),TPS Infrastructure Limited,13£ÉĂ ºÀtPÁ¹£À C£ÀÄzÁ£ÀzÀ°è J¸ï.qÀ§Æèöå.JªÀiï SÁvÉUÉ n.¦.J¸ï E£À¥Áæ¸ÀÖçZÀÑgï °.EªÀjAzÀ ªÁºÀ£ÀªÀ£ÀÄß RjĂ¢¸À¯ÁVzÀÄƯ ¸ÀzÀjAiÀÄªÀjUÉ ºÀt ¸ÀAzÁAiÀÄ ªÀiÁqÀÄªÀ PÀÄjvÀÄ,13th finance pay to TPS Instastrocture,26-Nov-12,4479531,26-Nov-12,4479531
12,6510,20-Nov-12,51060,13th Finance,13th Finance-2010-11(Water),Executive Engineer Karnatak Water Board HDWS Maintenance Division Hubli,2010-11£ÉĂ ¸Á°£À 13£ÉĂ ºÀtPÁ¸ÀÄ AiÉÆĂd£É ªÁqÀđ £ÀA.50 ¸ÉlèªÉÄAmï ªÀÄÄRå gÀ¸ÉÛ ªÀÄvÀÄÛ zÀvÀÛ£ÀUÀgÀzÀ°è 150/200 JªÀiï.JªÀiï ªÁå¸ÀzÀ ºÉZï.r.¦E PÉÆ¼ÀªÉ ªÀiÁUÀđ C¼ÀªÀr¸ÀÄªÀ PÀÄjvÀÄ.,Laying of 150/200mm dia HDPE Pipeline at W.No. 50 Settlement main road & Dattanagar under 13th Finance Project for 2010-11.,26-Nov-12,1367000,27-Nov-12,1367000
13,7295,11-Dec-12,49499,13th Finance,13th Finance-2011-12(Electrical),Vinayak Electricals,zsÁgÀªÁqÀ ¨sÁUÀzÀ ªÁqÀđ £ÀA-2gÀ°è §gÀÄªÀ £ÁgÁAiÀÄt¥ÀÆgÀ 2 £ÉĂ ªÉÄĂ£À£À°è  §gÀÄªÀ  GzÁå£ÀªÀ£ÀPÉ̀ «zÀÄåvï ¢Ă¥ÀUÀ¼À£ÀÄß C¼ÀªÀr¸ÀÄªÀzÀÄ.,Electrification  of  gardon  at 2 main road Narayanpur  ward no-2 Dharwad,27-Dec-12,435302,28-Dec-12,435302
14,7481,18-Dec-12,50468,13th Finance,13th Finance(P)2011-12(Drain),Kundgol F.A.,"zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA 06 gÀ°è gÁd£ÀUÀgÀ 1£ÉĂ PÁæ¸ï, 2£ÉĂ PÁæ¸ï ªÀÄvÀÄÛ 3£ÉĂ ªÀÄÄRågÀ¸ÉÛ ªÀÄvÀÄÛ G¥ÀgÀ¸ÉUÀ¼À°è vÉgÉzÀ ZÀgÀAr PÀlÄÖªÀÅzÀÄ ºÁUÀÆ Cgï.¹.¹. zÀ¨Á¸À ºÁPÀÄªÀÅzÀÄ.",Construction of open drain and CD work at Rajnagar 1st cross 2nd cross and 3rd cross and bylane in ward No. 6 of Dharwad,27-Dec-12,2297683,29-Dec-12,2297683
15,7667,24-Dec-12,50362,13th Finance,13th Finance-2011-12(Drain),Savadi S.K.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 03 ªÁqÀđ £ÀA  05 gÀ  PÀªÀÄ¯Á¥ÀÆgÀ ªÀÄÄRå gÀ¸ÉÛ¬ÄAzÀ zÀ£ÀzÀ ªÀiÁgÀÄPÀmÉÖªÀgÉUÉ Dgï ¹ ¹ ªÀÄ¼É ¤ĂgÀÄ ZÀgÀAr PÁªÀÄUÁj,Regarding the Storm water works in kamalapur ward No.5 of Dharwad,02-Jan-13,2368629,04-Jan-13,2368629
16,7482,18-Dec-12,50211,13th Finance,13th Finance(P)2011-12(Garden),Sunagar .B.J.,zsÁgÀªÀqÀ «¨ÁUÀzÀ  19 gÀ «ªÉĂPÁ£ÀAzÀ£ÀUÀgÀ UÁqÀđ£ï G½zÀ PÁªÀÄUÁj PÉÊPÉÆ¼ÀÄîªÀÅzÀÄ.,Improvement of Vivekanadnagar Garden (Balance work) ward No. 19 of Dharwad.,07-Jan-13,279664,16-Jan-13,279664
17,8024,04-Jan-13,52193,13th Finance,13th Finance-2011-12(RD_BRDG),Savadi S.K.,zsÁ.«.zÀ ªÁ.£ÀA 5 gÀ°è §gÀÄªÀ ªÀiÁ¼Á¥ÀÄgÀ¢AzÀ JwÛ£ÀUÀÄqÀØPÉ̀ ºÉÆĂUÀÄªÀ ªÀÄÄRå gÀ¸ÉÛAiÀÄ°ègÀÄªÀ £Á¯ÁzÀ ªÉÄĂ°£À ¸ÉĂvÀÄªÉ ¤«Äđ¸ÀÄªÀ PÀÄjvÀÄ.,(Regarding Repair and Reconstruction of CD Works) at Malapur Roads in ward No : 05,15-Jan-13,357921,16-Jan-13,357921
18,7448,15-Dec-12,52468,13th Finance,13th Finance-2010-11(Water),EE Karnataka Water Boad Dharwad,zÁ.«.ªÁ.£ÀA.7 & 13 PÀªÀÄw ¥Áèl ºÁUÀÆ ²ªÀUÀAUÁ £ÀUÀgÀ & PÉ®UÉĂj ²gÀr ¸Á¬Ä¨Á§ UÀÄr¬ÄAzÀ «dAiÀÄ£ÀUÀgÀ ªÀÄÄRå gÀ¸ÉÛªÀgÉUÉ PÉÆ¼ÀªÉ ªÀiÁUÀđ C¼ÀªÀr¸ÀÄªÀzÀÄ.,Providing water supply to kamati plot & shivganga nagar & kelageri main road to saibaba temple to vijay nagar cross ward no.7 & 13,15-Jan-13,700000,19-Jan-13,700000
19,8184,08-Jan-13,51656,13th Finance,13th Finance(P)2011-12(Drain),Bhimappa N.F.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 01 ªÁqÀđ £ÀA  14 gÀ ²æĂ ¸ÀzÁ²ªÀ£ÀUÀgÀ MqÉAiÀÄgÀ gÀ¸ÉÛ AiÀÄÄªÀd£À QæĂqÁ ºÁ¸ÉÖĂ¯ï¢AzÀ «ÄaV£ï PÀA¥ËAqÀ §¸ï gÀÆmï & ±ÁgÀzÁ ¸ÀÆ̀¯ï gÀ¸ÉÛAiÀÄ°è «ÄaV£ï PÀA¥ËAqÀ gÀ¸ÉÛ¬ÄAzÀ ¸À¥ÁÛ¥ÀÆgÀ 5£ÉĂ PÁæ¸ïªÀgÉUÉ (§®PÉ̀) vÉ.ZÀ. ªÀ CrUÁ®ÄªÉ PÀlÄÖªÀÅzÀÄ.,Construction of open drain & cross Drainage work Shri Sadashiv wadeyar road Yuvajan Sports Hostel to Michigan Compound & Sapathapur 5th cross (Right Side) in ward No. 14 of Dharwad,21-Jan-13,1792542,24-Jan-13,1792542
20,8072,04-Jan-13,52997,13th Finance,13th Finance-2011-12(swm),TPS Infrastructure Limited,13£ÉĂ ºÀtPÁ¹£À C£ÀÄzÁ£ÀzÀ°è J¸ï.qÀ§Æèöå.JªÀiï SÁvÉUÉ n¦.J¸ï EªÀjUÉ dnÖAUï PÀªÀiï ¸ÀQ̀AUï ªÀÄvÀÄÛ ¹ÖĂmï ¹éĂ¦AUï ªÁºÀ£ÀUÀ¼À£ÀÄß  RjĂ¢¸À¯ÁVzÀÄƯ ¸ÀzÀjAiÀÄªÀjUÉ ºÀt ¸ÀAzÁAiÀÄ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,13th finance pay to TPS Instastrocture,23-Jan-13,4479531,28-Jan-13,4479531
21,8387,18-Jan-13,52375,13th Finance,13th Finance-2012-13(UGD),Bhovi Vivekanand  L,"EAqÉAmï £ÀA.7298, ºÀÄ.«.ªÁqÀđ £ÀA.54gÀ PÀ¯ÁzÀV NtÂ zÀQët ¨sÁUÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀzÀÄ.",Construction of under drainage to Kaladagi Oni south in ward No.54 Hubli,06-Feb-13,184666,07-Feb-13,184666
22,9102,13-Feb-13,52399,13th Finance,13th Finance-2011-12(Drain),Savadi S.K.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 01  gÉĂ¯Éé ¸ÉÖĂ±À£À¢AzÀ PÉ£ÀgÁ ¨ÁåAPÀªÀgÉUÉ gÀ¸ÉÛ §¢UÉ ºÁUÀÆ PÀÆrèªÀÄoÀ ºÀ£ÀÄªÀÄAvÀ zÉĂªÀ¸ÁÜ£ÀzÀ »AzÉ Dgï.¹.¹. ªÀÄ¼É ¤ĂgÀÄ ZÀgÀAr PÁªÀÄUÁj,Regarding the Storm Water drain Works in Railway station to canare Bank of dharwad,14-Feb-13,3690064,14-Feb-13,3690064
23,8476,22-Jan-13,52547,13th Finance,13th Finance-2012-13(Drain),Waddar E.H.,"EAqÉAmï £ÀA.7308, ºÀÄ.«.ªÁqÀđ £ÀA 61 gÀ°è CAiÉÆĂzsÁå £ÀUÀgÀzÀ°è vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj",Regarding Drain Road wroks at Ayodhya Nagar  Road in ward No : 61,12-Feb-13,191099,16-Feb-13,191099
24,9198,15-Feb-13,53972,13th Finance,13th Finance-2010-11(swm),Kam-Avida Enviro Engineers Pvt.ltd,13£ÉĂ ºÀtPÁ¹£À AiÉÆĂd£É CrAiÀÄ°è JgÀqÀÄ eÉnÖAUï PÀªÀiï ¸ÀPÀë£ï 8000 °Ă ¸ÁªÀÄxÀåđzÀ ªÀÄ²Ă£ÀUÀ¼À£ÀÄß  RjĂ¢¹zÀ ©®Äè ¸ÀAzÁAiÀÄ PÀÄjvÀÄ,13th  finance Purchase of 2 no Jetting cum suction  Machine 8000 ltr,20-Feb-13,2598742,25-Feb-13,2598742
25,9197,15-Feb-13,53972,13th Finance,13th Finance-2010-11(swm),Kam-Avida Enviro Engineers Pvt.ltd,13£ÉĂ ºÀtPÁ¹£À AiÉÆĂd£É CrAiÀÄ°è JgÀqÀÄ eÉnÖAUï PÀªÀiï ¸ÀPÀë£ï 8000 °Ă ¸ÁªÀÄxÀåđzÀ ªÀÄ²Ă£ÀUÀ¼À£ÀÄß  RjĂ¢¹zÀ ©®Äè ¸ÀAzÁAiÀÄ PÀÄjvÀÄ.,13th  finance under Purchase of 2 no Jetting cum suction  Machine 8000 ltr in,25-Feb-13,5197485,25-Feb-13,5197485
26,9332,21-Feb-13,53068,13th Finance,13th Finance-2011-12(RD_BRDG),Jadhav V.S.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 01 ªÁqÀđ £ÀA 05gÀ ºÀjd£À PÉĂj ªÀÄÄRå gÀ¸ÉÛUÉ ¥ÁåZï ªÀPÀđ ªÀiÁqÀÄªÀzÀÄ. ªÁqÀđ £ÀA. 5 gÀ ªÀiÁ¼Á¥ÀÆgÀ ªÉÄĂ£ï gÀ¸ÉÛ ªÀÄgÁoÁ PÁ¯ÉÆĂ¤ PÁæ¸À¢AzÀ ªÀiÁ¼Á¥ÀÆgÀ PÉÆ£É §¸ï ¸ÁÖ¥ÀªÀgÉUÉ qÁA§gÀ ¥ÁåZï ªÀPÀđ ªÀiÁqÀÄªÀÅzÀÄ. (E.£ÀA 7730),Regarding Roads Development works in ward No : 5 (Pot  Hole filling of Roads),28-Feb-13,337105,28-Feb-13,337105
27,9230,16-Feb-13,53152,13th Finance,13th Finance-2012-13(UGD),Vagesh S.H.,ºÀÄ.«.ªÁqÀđ £ÀA 23 gÀ £ÀªÀ£ÀUÀgÀ 7 £ÉĂ PÁæ¸ÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ,Regarding UGD line Raod works in ward no : 23,13-Mar-13,294811,14-Mar-13,294811
28,9331,21-Feb-13,53191,13th Finance,13th Finance-2011-12(RD_BRDG),Jadhav V.S.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA14 gÀ°è ªÀ®AiÀÄ PÀZÉĂj £ÀA. 01 gÀ ºÀwÛgÀ ªÀÄÄRå gÀ¸ÉÛUÉ qÁA§gï ¥ÁåZï ªÀPÀđ ªÀiÁqÀÄªÀzÀÄ.& ¸À¥ÁÛ¥ÀÆgÀ ¨Á« zÀÄgÀ¹Û  PÉ®UÉĂj gÀ¸ÉÛ  ¸Á¬Ä ªÀÄA¢gÀ ºÀwÛgÀ gÀ¥Án PÀ¯Áåt ªÀÄAl gÀ¸ÉÛ PÉÆĂlđ ¸ÀPÀđ¯ï zÁ¸À£ÀPÉÆ¥Àà ªÀÈvÀÛ¢AzÀ PÉ®UÉĂj gÀ¸ÉÛ £ÁgÁAiÀÄt¥ÀÆgÀ 2£ÉĂ ªÀÄÄRå gÀ¸ÉÛ qÁA§gÀ ¥ÁåZï ªÀiÁqÀÄªÀÅzÀÄ. (EAqÉĂ£ïÖ £ÀA. 7724),Regarding Black Top Road wroks in ward No : 14 (Pot  Hole filling of Roads),16-Mar-13,1451414,19-Mar-13,1451414
29,9159,14-Feb-13,52703,13th Finance,13th Finance-2011-12(RD_BRDG),Shekhbade Shakeel Ahmed,"EAqÉAmï £ÀA.7851, ºÀÄ.«.zÀ ªÁ.£ÀA 47 zÉĂ¸Á¬Ä PÁæ¸À ¸ÀPÀđ®zÀ°è ¥sÀÄl¥ÁvÀ ªÀiÁqÀÄªÀzÀÄ.",(Coverting of open Drains and Foot paths) at Desai Cross Roads in ward No : 47,18-Mar-13,179355,19-Mar-13,179355
30,9770,08-Mar-13,53464,13th Finance,13th Finance-2012-13(Drain),Dani R.G,"EAqÉAmï £ÀA.7284, ºÀÄ.«.ªÁqÀđ £ÀA 56 gÀ°è ªÀÄAUÀ¼ÀªÁgÀ ¥ÉĂl M¼À gÀ¸ÉÛUÀ½UÉ vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj.",Regarding Drain Road wroks at Mangalvar peth Roads in ward No : 56,16-Mar-13,290861,19-Mar-13,290861
31,9510,26-Feb-13,52993,13th Finance,13th Finance-2012-13(Garden),Channalli M.S.,ºÀÄ§â½î «¨sÁUÀzÀ ªÁqïđ £ÀA 26gÀ ²ªÀVj UÁqÀđ£À C©üªÀÈ¢Ư ¥Àr¸ÀÄªÀÅzÀÄ.,Regarding Garden Work Ward No 26.,16-Mar-13,209507,19-Mar-13,209507
32,9800,12-Mar-13,53072,13th Finance,13th Finance-2012-13(Drain),Hanchin V B,"EAqÉAmï £ÀA.7281, ºÀÄ.«.ªÁqÀđ £ÀA 50 gÀ°è ºÁ£ÀUÀ®è ZÁ¼ÀzÀ°è «í DPÁgÀzÀ vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj",Regarding Drain Road wroks at Hankal Chal  Road in ward No : 50,18-Mar-13,293211,20-Mar-13,293211
33,9708,05-Mar-13,53165,13th Finance,13th Finance-2011-12(Electrical),Devagiri Electricals,ºÀÄ§â½î «¨sÁUÀzÀ ¦ © gÀ¸ÉÛ ºÉÆ¸ÀÆgÀ¢AzÀ QªÀÄ́ UÉĂlªÀgÉUÉ «ÄrAiÀÄ£ÀzÀ°è J¯ï.E.r «zÀÄåvï ¢Ă¥À C¼ÀªÀr¸ÀÄªÀ PÁªÀÄUÁj.,Regarding the Electrical Street Light work in P B Road hosur to kims gate,25-Mar-13,890820,25-Mar-13,890820
34,9710,05-Mar-13,53168,13th Finance,13th Finance-2011-12(Electrical),Devagiri Electricals,ºÀÄ§â½î «¨sÁUÀzÀ ¯Áå«ÄAUÀÖ£À gÀ¸ÉÛ «ÄrAiÀÄ£ïzÀ°è J¯ï.E.r «zÀÄåvï ¢Ă¥À C¼ÀªÀr¸ÀÄªÀ PÁªÀÄUÁj.,Regarding the Electrical Street LIght works in Lamington road,25-Mar-13,872640,25-Mar-13,872640
35,9383,22-Feb-13,52518,13th Finance,13th Finance-2012-13(UGD),Bijapur Baseer Ahamed,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 01 ªÁqÀđ £ÀA 08 gÀ ªÀÄtÂPÀAoÀ £ÀUÀgÀ 6 £ÉĂ PÁæ¸ï AiÀÄÄ.f.r PÉÆ¼ÀªÉ PÁªÀÄUÁj,Regarding UGD line road works at Manikanta Nagar Roads in ward No : 8 of Dharwad.,21-Mar-13,278656,25-Mar-13,278656
36,9968,18-Mar-13,52509,13th Finance,13th Finance(P)2011-12(Bldg),Bharat Enterprises Hubli (Bagi),"EAqÉAmï £ÀA.7399, ºÀÄ.«.ªÁqÀđ £ÀA 47 £ÉºÀgÀÄ ªÉÄÊzÁ£ÀzÀ°ègÀÄªÀ ¨ÁåqÀ«ÄAl£ï PÉÆĂlđ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ",Regarding Building works in ward No : 47 (VI),29-Mar-13,1059876,30-Mar-13,1059876
37,10081,21-Mar-13,51316,13th Finance,13th Finance(P)2011-12(UGD),Shibhargatti Z.T,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA ªÁqÀđ £ÀA 16 gÀ ®QëöäĂ¹AUÀ£ÀPÉĂj PÉgÉAiÀÄ ¥ÀPÀ̀zÀ NtÂAiÀÄ°è ²æĂ ªÀiÁ§Æ° ªÀÄÄeÁªÀgÀ ªÀÄ£É¬ÄAzÀ ²æĂªÀÄw zÁªÀ®© JªÀiï vÀqÀPÉÆĂqÀ ªÀÄ£ÉªÀgÉUÉ M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ªÀiÁUÀđ ºÁQ ±ÁSÉUÀ¼À£ÀÄß PÀlÄÖªÀÅzÀÄ.,Providing and laying UGD line and Manhole chambers from Shri Mabooli Mujavar House to Smt Davalabi M Tadkod house beside Laxmisingankeri lake in ward No. 16 of Dharwad,26-Mar-13,139578,30-Mar-13,139578
38,9873,14-Mar-13,52253,13th Finance,13th Finance-2011-12(Drain),Shibhargatti Z.T,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA 07 ªÀÄ¢ºÁ¼À UÀuÉĂ±À£ÀUÀgÀzÀ°è gÀ¸ÉÛ §¢UÉ Dgï ¹ ¹  ªÀÄ¼É¤ĂgÀÄ ZÀgÀAr  PÁªÀÄUÁj,Regarding the Storm Water work in Madihal ganesh Nagar  ward No.7 of Dharwad,29-Mar-13,1039998,30-Mar-13,1039998
39,9958,18-Mar-13,52399,13th Finance,13th Finance-2011-12(Drain),Savadi S.K.,zsÁgÀªÁqÀ «¨ÁUÀzÀ gÉĂ¯Éé ¸ÉÖĂ±À£À¢AzÀ PÉ£ÀgÁ ¨ÁåAPÀªÀgÉUÉ gÀ¸ÉÛ §¢UÉ ºÁUÀÆ PÀÆrèªÀÄoÀ ºÀ£ÀÄªÀÄAvÀ zÉĂªÀ¸ÁÜ£ÀzÀ »AzÉ Dgï.¹.¹. ªÀÄ¼É ¤ĂgÀÄ ZÀgÀAr PÁªÀÄUÁj,Regarding the Storm Water drain Works in Railway station to canare Bank of dharwad,29-Mar-13,2537129,30-Mar-13,2537129
40,10677,30-Mar-13,53079,13th Finance,13th Finance-2011-12(RD_BRDG),Savadi S.K.,zsÁ.«. ªÁ.£ÀA 5 gÀ SÁ¢æ ¸ÀPÀđ¯ï ªÀÄÄeÁªÀgÀ UÁågÉĂd¢AzÀ ªÀiÁ¼Á¥ÀÆgÀ PÉÆĂlÄgÀ ¥ÁèlªÀgÉUÉ vÉgÉzÀ ZÀgÀAr ¤«Äđ¸ÀÄªÀzÀÄ. (EAqÉĂ£ïÖ £ÀA. 7691),Regarding Drains Road works at Khadri Circle Roads in ward No : 5 (Repair to Drains),30-Mar-13,2392876,30-Mar-13,2392876
41,10226,25-Mar-13,52806,13th Finance,13th Finance-2011-12(RD_BRDG),Nayak T.D.,ºÀÄ.«.zÀ ªÁqÀđ £ÀA.34 «zÁå£ÀUÀgÀ dPÀ̀gÉrØ ºÁ¹àl¯ï ªÀÄÄA¢£À gÀ¸ÉÛUÉ qÁA§gï ¥ÁåZï ºÁPÀÄªÀzÀÄ.,Regarding Road Development Works at Vidya Nagar Jakaraddi Hospital in ward No : 34 (Pot Hole Filling of Roads),30-Mar-13,376445,30-Mar-13,376445
42,9972,19-Mar-13,53417,13th Finance,13th Finance-2012-13(Drain),Palkar Shivayogi Channappa,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA 09gÀ §¹Û NtÂ ¸ÀPÀđ®£À°è UÀmÁgÀ ¤«Äđ¸ÀÄªÀÅzÀÄ (EAqÉĂ£ïÖ £ÀA. 7138),Regarding Storm Water Drains works at Basti Oni roads in ward No : 09,26-Mar-13,265173,30-Mar-13,265173
